text,label
Gold card cycled at a ratio of 6 blue 3 red 1 gold so gold was rare a jackpot reward. Thats why its the stun.,analysis
Second wind lost 3 HP per 10 and Dshield lost 5 HP per 8 seconds last patch. Small numbers but they compound in long matchups.,analysis
Red blue equals buffs gold fits the gambler vibe way better than soccer ref logic.,opinion
I dont think chests should have champion shards. Been playing 13 years I dont need more blue essence.,opinion
lmfao,noise
Nice try APA but no,noise
The leaker BigBadBear was believed to have insider connections to Riot Brazil. Rioter Drew Levin confirmed that this ban was given deliberately.,analysis
Was bound to happen eventually,noise
He said he was warned multiple times. Rioters mentioned how marketing campaigns got cancelled since he was leaking stuff 4-6 months prior to release.,analysis
I hate being around people who dont care about others and post leaks. It ruins things for me.,opinion
Better for him to end this way with a slap on the wrist compared to getting criminally charged like leakers for gacha games.,opinion
Are people missing the part where he got sent a cease and desist letter from riot and still kept posting leaks,analysis
Its actually sad how champions nowadays get released with absolutely 0 substance,opinion
Rioters have talked about going after leakers as they have ruined tons of reveal campaigns. Overall its a deserved ban.,analysis
Play for jungle always lead to more wins. Avoid taking stupid fights and focus on farm. Players in emerald know their lethal damage thresholds a lot better than plat.,analysis
No if anything team composition mattered even less now because players play macro and micro much better.,analysis
There are a few games where my team goes full squishy damage comp and as adc Im always in danger lol,noise
Ezreal trades in a lot of more nuanced adc gameplay to instead focus on skill shots. Skill shots are relatable to every class making it an easy adc for filled players.,analysis
I think the mentality goes if youre autofilled youre not playing safe to scale but playing safe to lose as little as possible.,analysis
Yeah youre trying to be a zero as opposed to a negative 50,noise
Ezreal is fun. The champ is dogshit but he is fun.,opinion
47% wr they are lost and have 0 idea how to play.,opinion
The main misconception with ezreal is that hitting skillshots separates good and bad ezreals. His e isnt a spell that makes you safe its a spell that lets you play aggressively.,analysis
I think people are watching pro streamers and internalizing ez is a safe pick without realizing the assumption is that theyll hit their skillshots.,analysis
Champ is as dogshit as the player is. If youre landing most skills hes very strong.,opinion
Meanwhile the pro ezreal picks are Eing into melee range and have like 90% accuracy.,analysis
There is also the conspiracy that part of that winrate loss is from people picking yuumi sharing the same braincell of just play safe.,opinion
Jungle is not a farming role. Jungle is a decision-making and map control role.,opinion
Challenger jungle players prioritize lane priority enemy jungle position and objective timers before every action.,analysis
Most low elo players ignore pathing and play randomly which loses games before minute 10.,opinion
Kills do not win games. Objectives do.,opinion
One good objective setup is worth more than multiple kills.,opinion
By the time the minions arrive I have forgotten whether my opponent had a massive mastery or not.,opinion
Whenever I queue into a 5 million mastery but hardstuck player all I think is theyre in that elo despite that much mastery for a reason.,analysis
Yeah mastery is a cool stat but it actually has nothing to do with how good someone is at a champion.,analysis
Placebo.,noise
Likely. But a welcome one.,noise
There is no way it impacts as much its just in your head. But since you believe it gives you higher winrate then it does.,opinion
If you have that much time on a single champion and are not at least diamond it means your fundamentals are terrible.,opinion
Outside of very few exceptions I have never met anyone with high mastery that was actually good on that champion.,opinion
It might be because of scouting sites. Some websites give info on players such as early invade meaning this player likes to invade lvl 1.,analysis
Apps these days give so much extra info on a player. It will tell you if someone is aggressive or passive how well they cs and how much they ward.,analysis
I put streamer mode to prevent my teammates from wasting time investigating opgg instead of focusing on the game.,opinion
lmfao youre x mastery and still at this rank,noise
I AM FREE.,noise
Being low elo even though spamming one champion means you are straight resistant to learning.,opinion
I love seeing a multi million mastery no life on the enemy lane. Its so much more rewarding when I absolutely dumpster them all game.,opinion
Top 16 teams based on the player ranking score were auto invited.,analysis
Every roster was ranked and the top 16 national teams got to skip qualifiers. France was ranked third after China and Korea.,analysis
Feels half-assed to mention all the teams at the start and not list the players right after.,opinion
ENC pays for everything they have saudi money,noise
This was cool to follow hopefully future qualifiers are a bit more organized.,opinion
Was following the qualifiers most of the weekend. Was super fun watching it. Cant wait.,noise
Trundle,noise
Illaoi zone control like yorick or nasus bonk like yorick or trundle bonk and speed.,opinion
Ivern top can actually be quite fun with Daisy. Masters plus it actually has a 54% winrate. Press the Attack Malignance into other AP items.,analysis
Try Naafiri toplane. Her q sort of combines Yorick q and e and her dogs block skillshots better than Yorick ghouls.,analysis
If you like the bonk you can try Nasus or Morde. If you like split pushing trundle tryn camille or Sion. Feel wise Nasus Morde and Trundle is probably most similar.,analysis
Yorick,noise
BBB wasnt a leaker he just pretended to be. He would take other peoples leaks stamp his watermark on them and add them to clickbait videos.,analysis
This reminds me of the time he claimed League was making a battle royale with WASD controls then when WASD was confirmed cropped out the Battle Royale part.,analysis
One of the killers of excitement in modern gaming has been the constant leaks. Personally am happy to have this stuff be cracked down on,opinion
oh no anyway,noise
Yeah leak culture is a tumor.,noise
Can you stop leaking things? No. Gets punished. Surprised pikachu face,noise
RIP BOZO HE WONT BE MISSED,noise
He was ultimately a Big Bad Bear.,noise
You do realize this coincidentally started after BBB began leaking? He leaked the dual release of Lillia and Yone. These events take a year to prepare.,analysis
Got clapped by briar in iron. Im dia now.,noise
Someone beat me very hard on Twitch so I played Twitch and tried to replicate what he did.,noise
I just scrolled the champ gallery when I started. Champ looked cool lore sounded cool. Always ended up coming back to the cat.,opinion
I support main mostly started from before you could pick a role. Nautilus has a TON of cc. A root with passive hook and stun with Q slow with E and knockup with ult.,analysis
I forget who said it but someone said you should relate to your otp on a psychological level too.,opinion
I thought Fiddlesticks looked super cool so I started playing league of legends and never looked back.,noise
xPetu posted a video why you should play Shen. Now half my mastery points are on Shen.,noise
Reeled in one champ with ult in ARAM and now Im considering getting shotgun knees in real life.,noise
Nasus is also unplayable for vayne if he goes 3 points e with poke runes. He free scales and at some point will press w on you and run you down.,analysis
The trick to winning against Vayne top is to lose your ego. Sit under tower minimize poke farm what you can. Then in teamfights the enemy comp sucks because they have a second ADC instead of a bruiser.,analysis
