text,label
The problem is tanks are oppressive against comps with no answer to them. There are so many augments that allow you to melt tanks but you remember the few games where Tahm Kench gets 50000 HP.,analysis
Riot succeeded in tricking their playerbase with elo inflation. Masters hasnt been a serious rank in like 5 years since they started pumping LP everywhere.,opinion
I forget who said it but someone said you should relate to your otp on a psychological level too.,opinion
You can get WAY MORE funding if your CEO uses the word AI since the company valuation goes up so much more.,analysis
To get challenger you either need to be unemployed full time gaming or a streamer. If you work or have a family its pretty much impossible.,opinion
Pressure Cooker and Tooth Fairy are the same rarity as Stats for gold augments. Pressure Cooker auto wins the game. Tooth Fairy is overtuned. Stats gives you 3 silver anvils.,opinion
Low elo detected,noise
I think the mentality goes if youre autofilled youre not playing safe to scale but playing safe to lose as little as possible.,analysis
I love seeing a multi million mastery no life on the enemy lane. Its so much more rewarding when I absolutely dumpster them all game.,opinion
Rioters have talked about going after leakers as they have ruined tons of reveal campaigns. Overall its a deserved ban.,analysis
Was following the qualifiers most of the weekend. Was super fun watching it. Cant wait.,noise
never has there been a worse season for ranked integrity,opinion
This post has inspired me to try tank Jhin so I can be giga useless,noise
Because its incredibly unfun to play against if you have to blind pick.,opinion
I hate being around people who dont care about others and post leaks. It ruins things for me.,opinion
The game is so much more fun when tanks are playable versus the damage champ metas,opinion
The way to nerf it most easily is by removing tank engine or modifying bloodmail or riftmaker for aram mayhem.,opinion
Smurfing isnt against TOS. I dont even think account sharing is against TOS either unless its for boosting purposes.,opinion
RIP BOZO HE WONT BE MISSED,noise
Feels half-assed to mention all the teams at the start and not list the players right after.,opinion
Master is just old diamond and grandmaster is old master. The total amount of work from d5 to chall wasnt too different from someone going from master 0 lp to chall now.,analysis
Play for jungle always lead to more wins. Avoid taking stupid fights and focus on farm. Players in emerald know their lethal damage thresholds a lot better than plat.,analysis
Champ is as dogshit as the player is. If youre landing most skills hes very strong.,opinion
Nasus is also unplayable for vayne if he goes 3 points e with poke runes. He free scales and at some point will press w on you and run you down.,analysis
No if anything team composition mattered even less now because players play macro and micro much better.,analysis
Other people are buying skins to show off. Being able to reduce effects makes buying skins kinda pointless.,opinion
It doesnt really matter though. Challenger has 300 slots. If the cutoff is at 2000lp or 10000lp still only 300 spots.,opinion
People discussing it in the comments like challenger is something relevant to them,noise
Im 30 unemployed for 5 months and trying to reach my goal masters,noise
By the time the minions arrive I have forgotten whether my opponent had a massive mastery or not.,opinion
Veigar specifically gets ap from his passive reaching up to 300-400 free ap in the late game meaning he gets decent damage without buying damage items.,analysis
Jungle is not a farming role. Jungle is a decision-making and map control role.,opinion
The trick to winning against Vayne top is to lose your ego. Sit under tower minimize poke farm what you can. Then in teamfights the enemy comp sucks because they have a second ADC instead of a bruiser.,analysis
yeah hard reset really worked,noise
Account sharing is very much against their TOS. Riot Games TOS 1.5 Can I share or sell my account or login credentials No.,analysis
He was ultimately a Big Bad Bear.,noise
Pyke is an exception. His passive converts all bonus HP into AD. He can only gain defensive stats from resistances not HP.,analysis
To challenge the pros who play this game full time you need to play the game full time.,opinion
You do realize this coincidentally started after BBB began leaking? He leaked the dual release of Lillia and Yone. These events take a year to prepare.,analysis
Placebo.,noise
Theres like a 15% dmg reduction on most ranged attacks in the game why wouldnt tanks be more broken?,analysis
Yeah leak culture is a tumor.,noise
The problem with league as a live service game is all data has a short shelf life. An AI trained on soloqueue data might overvalue picks that do not work in pro play.,analysis
totally agree,noise
There was a chunk of time where Riot tried to push champions into being more viable in every rank. I heard rioters talk about how using that approach was a mistake.,analysis
Just multiply it with 2/3 and you got the actual elo. Whether its plus or minus 20 or plus or minus 30 makes no difference in games played.,analysis
Money. If people can use custom skins they are less likely to buy new ones.,opinion
It might be because of scouting sites. Some websites give info on players such as early invade meaning this player likes to invade lvl 1.,analysis
Riot probably avoids false bans so a lot of them slip through unless theres obvious boosting or account sharing.,opinion
People discussing it in the comments like challenger is something relevant to them,noise
lmfao youre x mastery and still at this rank,noise
BBB wasnt a leaker he just pretended to be. He would take other peoples leaks stamp his watermark on them and add them to clickbait videos.,analysis
Yeah youre trying to be a zero as opposed to a negative 50,noise
Vayne fucks Irelia with condemn.,opinion
Being tanky and being a tank are two different things. A marksman or assassin building full tank can just be ignored.,analysis
xPetu posted a video why you should play Shen. Now half my mastery points are on Shen.,noise
Ive been playing since wukong or skarners release for the first time ever Ive finally hit not only emerald but also progressed into diamond,opinion
I mute pings too. They dont know what theyre for.,noise
I support main mostly started from before you could pick a role. Nautilus has a TON of cc. A root with passive hook and stun with Q slow with E and knockup with ult.,analysis
The justification was that his kit was so complex that he was eternally in pro jail and simplifying him would open him up to other avenues of play.,analysis
AI analyze this play at 40 minutes. The team needs to establish vision control around the Rift Herald. The Rift Herald can help break the tower.,noise
Gold card cycled at a ratio of 6 blue 3 red 1 gold so gold was rare a jackpot reward. Thats why its the stun.,analysis
Someone beat me very hard on Twitch so I played Twitch and tried to replicate what he did.,noise
Trundle,noise
Ezreal trades in a lot of more nuanced adc gameplay to instead focus on skill shots. Skill shots are relatable to every class making it an easy adc for filled players.,analysis
Yorick,noise
Riot has a term for that Hitchhiking and they ban both accounts and reset the rank.,analysis
Reeled in one champ with ult in ARAM and now Im considering getting shotgun knees in real life.,noise
they can make a new rank called alpha challenger,noise
Ive never hit challenger but I hovered around low GM for all 4 seasons of my college years. Before I could have like a 58% win rate and climb consistently even if I had time for 3 or 4 games a day.,analysis
The problem with league as a live service game is all data has a short shelf life. An AI trained on soloqueue data might overvalue picks that do not work in pro play.,analysis
Most low elo players ignore pathing and play randomly which loses games before minute 10.,opinion
Its actually sad how champions nowadays get released with absolutely 0 substance,opinion
Nice try APA but no,noise
He was way too hard for plebeians.,noise
oh no anyway,noise
Outside of very few exceptions I have never met anyone with high mastery that was actually good on that champion.,opinion
Someone beat me very hard on Twitch so I played Twitch and tried to replicate what he did.,noise
The effort should be in becoming better not playing more.,opinion
If its client side only I honestly dont see why people would be against it.,opinion
Or play anything else because Vayne top is 49% winrate 3% pickrate and auto loses if she doesnt get a massive lead in lane.,opinion
it definitely feels that way sometimes half the game is just watching two unkillable tanks run at each other,opinion
They dont care about smurfs. The fast climber things existence proves riot is ok with smurfs.,opinion
Kills do not win games. Objectives do.,opinion
Meanwhile the pro ezreal picks are Eing into melee range and have like 90% accuracy.,analysis
Every roster was ranked and the top 16 national teams got to skip qualifiers. France was ranked third after China and Korea.,analysis
Tankiness is worthless if the enemy can just ignore you. Tanks cant be ignored because they will CC you. Veigar cant be ignored because he has enough damage and utility.,analysis
I just scrolled the champ gallery when I started. Champ looked cool lore sounded cool. Always ended up coming back to the cat.,opinion
Tankiness is worthless if the enemy can just ignore you. Tanks cant be ignored because they will CC you. Veigar cant be ignored because he has enough damage and utility.,analysis
Yeah mastery is a cool stat but it actually has nothing to do with how good someone is at a champion.,analysis
He was too OP in high elo. I mained him when his passive still gives shield. You just build tanky on him and he still dishes out huge damage.,opinion
Yorick belongs in the tier with Wukong. 6-0 this season against Vayne top with Yorick. Go Comet with E max and rush Liandrys or Eclipse.,analysis
Got clapped by briar in iron. Im dia now.,noise
Being low elo even though spamming one champion means you are straight resistant to learning.,opinion
If you like the bonk you can try Nasus or Morde. If you like split pushing trundle tryn camille or Sion. Feel wise Nasus Morde and Trundle is probably most similar.,analysis
The main misconception with ezreal is that hitting skillshots separates good and bad ezreals. His e isnt a spell that makes you safe its a spell that lets you play aggressively.,analysis
This reminds me of the time he claimed League was making a battle royale with WASD controls then when WASD was confirmed cropped out the Battle Royale part.,analysis
I put streamer mode to prevent my teammates from wasting time investigating opgg instead of focusing on the game.,opinion
